Polgári Tisza-hid;2002;10;1;[[21.0552074392,47.8535623743],[21.0510017355,47.8559525023],[21.0536624868,47.8578818024],[21.0536624868,47.8578818024],[21.0536624868,47.8579393924],[21.0575677832,47.8554053743],[21.0552074392,47.8535623743]]
Szekszard Szent Laszlo-hid;2003;07;04;[[18.8875748594,46.3498790197],[18.887274452,46.3537298006],[18.9028956373,46.3544999242],[18.9035822828,46.3501456209],[18.8875748594,46.3498790197]]
Dunaujvaros Pentele-hid;2007;07;23;[[18.9884702044,46.8892504416],[18.9010945635,46.9093075946],[18.9028111773,46.924316226],[18.993276723,46.9019189901],[18.9884702044,46.8892504416]]
M3 Fuzesabony-Polgar;2002;;;[[20.4282135249,47.7251911319],[20.4055542231,47.7254220803],[20.4066554997,47.734085408],[20.4334346745,47.7370871437],[20.4543773625,47.7583252511],[20.4959194157,47.7650180756],[20.5463878606,47.7767861265],[20.5954830144,47.786936815],[20.6466381047,47.8037733582],[20.692300031,47.8118437386],[20.7184122933,47.8300551306],[20.7343715907,47.8377722565],[20.7515377284,47.8651884691],[20.7958263636,47.8764732851],[20.8311886073,47.8861440288],[20.8641475917,47.8893672089],[20.8964199305,47.885913794],[20.9190792323,47.8810786263],[20.9489483119,47.8778549305],[20.9963268519,47.8711766367],[21.0337490321,47.8672613746],[21.067394662,47.8575871062],[21.0790676356,47.8506758091],[21.130480218,47.8511365909],[21.1412090541,47.850560613],[21.1478180171,47.84917824],[21.1612076045,47.8415745296],[21.1435264827,47.8375418067],[21.1321968318,47.8448004823],[21.1021560908,47.843878802],[21.0681671382,47.8448004823],[21.0352081538,47.8566656532],[20.961050439,47.8655339591],[20.916418481,47.8727887174],[20.8453506709,47.8773943861],[20.7790893794,47.8589692551],[20.7540268184,47.8428418921],[20.7354873896,47.8165665944],[20.6781524897,47.790969969],[20.6276840449,47.7854339051],[20.5833954097,47.7688221753],[20.5147308589,47.7618990548],[20.4821151973,47.7489734311],[20.4512161494,47.7385844424],[20.4282135249,47.7251911319]]
M3 Polgar-Gorbehaza;2004;9;;[[21.2596564086,47.7818136227],[21.1813788207,47.7984212021],[21.1429266723,47.8094899734],[21.1408667357,47.8406082481],[21.1309103759,47.8452167763],[21.1425833495,47.8569666701],[21.1488060744,47.8466568574],[21.1516384871,47.8417316146],[21.1546425612,47.8369211308],[21.1548142226,47.8251666954],[21.2348084243,47.8007273907],[21.2523178847,47.7984212021],[21.2658362182,47.7993436898],[21.2596564086,47.7818136227]]
M3 Gorbehaza-Nyiregyhaza;2007;08;31;[[21.2660136724,47.7907032977],[21.2645116353,47.7948549799],[21.2778583074,47.7970027687],[21.2935009504,47.8039068035],[21.2983503843,47.8072359789],[21.3065257573,47.8133461177],[21.3127699399,47.8172654509],[21.3218465352,47.8254345804],[21.3275757337,47.8297995671],[21.3347640538,47.8381251572],[21.3383260274,47.8421722366],[21.3442268872,47.8477310552],[21.3495054746,47.8525981326],[21.3594189191,47.8610784274],[21.3652983213,47.864303167],[21.3781729245,47.8728679073],[21.3860264325,47.8763077996],[21.4027205014,47.8816470962],[21.4119473005,47.8836473918],[21.4183416867,47.8855612714],[21.4432111287,47.8874463018],[21.4550772214,47.8903816322],[21.4708700681,47.8969135843],[21.480955174,47.9010711598],[21.4977779889,47.9050701735],[21.5122619176,47.9047681005],[21.526767304,47.9020637496],[21.5393414998,47.9005388937],[21.5630093122,47.903387173],[21.5769567991,47.9051708641],[21.5890160108,47.9043797184],[21.6050234342,47.8987982014],[21.618906548,47.8965826902],[21.642402699,47.9064222881],[21.6493549848,47.9061058389],[21.6652122045,47.9031713998],[21.6721859479,47.9014451814],[21.6852751279,47.8967121708],[21.6924634481,47.893000267],[21.7017331624,47.8861656398],[21.7134061361,47.8852734745],[21.7123332525,47.8804094646],[21.702806046,47.88245298],[21.6910472417,47.8879499242],[21.6863265538,47.8920362795],[21.6735377813,47.8984817056],[21.6608348394,47.9005532794],[21.6434970403,47.8977048441],[21.6258159185,47.8939642366],[21.6013541723,47.8965826902],[21.5940585637,47.9000641653],[21.5871491933,47.9012725564],[21.5790811086,47.9023370681],[21.5598550344,47.9000066221],[21.5392127538,47.8973307955],[21.5278401876,47.8990571511],[21.5144506002,47.9018479708],[21.5032926107,47.9026823104],[21.4854398275,47.8990859232],[21.4722648168,47.8941081111],[21.4605489278,47.8888132656],[21.4490476156,47.884294953],[21.436258843,47.8836905628],[21.425916245,47.8823378545],[21.4158740545,47.8792293697],[21.4027848745,47.8784234358],[21.3926139379,47.8751995747],[21.38540416,47.8722633839],[21.3768640065,47.8679739433],[21.3693538213,47.8629931407],[21.3633027578,47.8598547014],[21.3590112233,47.8556794188],[21.3464370275,47.8455133597],[21.3371243978,47.8363823674],[21.3309445882,47.8282293666],[21.3265243078,47.8237345853],[21.3084140325,47.8086915253],[21.2948527837,47.8014854511],[21.2825789953,47.7939900735],[21.2660136724,47.7907032977]]
M3 Nyiregyhaza-Or;2013;06;18;[[21.712196328,47.8816330171],[21.7124109047,47.8846837975],[21.7316369789,47.8875041705],[21.7482452171,47.8894898512],[21.7647247093,47.89032439],[21.7807750481,47.8909287027],[21.7933492439,47.893576085],[21.808069207,47.896223332],[21.8099574821,47.9024668458],[21.8210725563,47.9016612734],[21.8300847786,47.9057177784],[21.8464784401,47.9075013892],[21.863301255,47.9041354916],[21.8806390541,47.8976332235],[21.9052295463,47.8995034285],[21.9095210808,47.9043944145],[21.9242410438,47.9121615014],[21.9371585625,47.9154118251],[21.951063134,47.9140887091],[21.9687871712,47.910406817],[21.9847945946,47.9075876913],[22.0068101662,47.9083644046],[22.0238475578,47.9145489272],[22.0333747642,47.916821194],[22.044189431,47.9211065902],[22.0569782036,47.9262255915],[22.0737151878,47.9319191663],[22.0897655266,47.9393658761],[22.1113948601,47.9450580042],[22.1339683311,47.9520716839],[22.1471862572,47.9549458678],[22.1667556541,47.9598316136],[22.1898870247,47.964803104],[22.1952085274,47.9697453833],[22.2034053581,47.9738540112],[22.2137050407,47.9716991772],[22.2055940407,47.9628777859],[22.1365861671,47.9456329318],[22.0679216164,47.9200999854],[22.0291261452,47.9127943238],[22.0119600075,47.9060917664],[21.9886998909,47.9043656454],[21.953809716,47.9108383023],[21.9369439857,47.912017677],[21.9263009804,47.9091411061],[21.9143705147,47.901373566],[21.908920266,47.8960794634],[21.8961744087,47.8923962901],[21.8841581123,47.8944393326],[21.8668632286,47.8990430766],[21.8561343925,47.9032148661],[21.8437747734,47.9055451676],[21.8324880379,47.9019489793],[21.821287133,47.8962808793],[21.811931588,47.8942666843],[21.8057517784,47.8911301388],[21.7866115349,47.8884538534],[21.7719774025,47.8875329491],[21.7551975029,47.887043712],[21.745241143,47.8863242372],[21.7252425926,47.8824101197],[21.712196328,47.8816330171]]
M3 Or-Vasarosnameny;2014;10;14;[[22.2148313838,47.9711676376],[22.2100248652,47.9740407593],[22.2339716273,47.9999490926],[22.2396364527,48.0156830599],[22.2386064845,48.0341672079],[22.2424688655,48.0535626923],[22.2482195216,48.0688214592],[22.253626855,48.0780548314],[22.2568884211,48.0778254509],[22.2544851618,48.0691082348],[22.2478761988,48.0566033337],[22.2452154475,48.0451856571],[22.2454729395,48.036577695],[22.2474470454,48.0237778659],[22.2466745692,48.0109748576],[22.2355165797,47.9913910153],[22.2265043574,47.9803610641],[22.2148313838,47.9711676376]]
Budapest Megyeri-hid;2008;09;30;[[19.0962714011,47.6034082553],[19.0899199302,47.6071987384],[19.0860146338,47.6091083434],[19.0790623481,47.6115097173],[19.0742129142,47.6120015514],[19.0663164908,47.6106128315],[19.0666168982,47.6132166511],[19.0773457343,47.6138241903],[19.0904349143,47.6098605928],[19.0994471366,47.6053758686],[19.0962714011,47.6034082553]]
4-es Torokszentmiklos elkerulo;2004;;;[[20.3741830642,47.1812336284],[20.3669732863,47.1866004107],[20.3911741899,47.1887900792],[20.4039415048,47.1924792751],[20.4070528673,47.1934416319],[20.4236396478,47.1971305044],[20.4308065103,47.1979032397],[20.4488309549,47.1917502053],[20.4567917513,47.1921293229],[20.4626496958,47.1947539084],[20.4632290529,47.193879061],[20.4587658571,47.1914294115],[20.4553970026,47.1906565819],[20.4501184152,47.1905107637],[20.444220906,47.1910334304],[20.4255098159,47.1937163939],[20.4013055617,47.1891669409],[20.3741830642,47.1812336284]]
M4 Vecses-Ullo (Ferihegy);2005;12;17;[[19.3036968464,47.4022773733],[19.2960579151,47.4077960351],[19.2830974811,47.4136045281],[19.2740852588,47.4185993197],[19.2662746662,47.4210384644],[19.2567474598,47.417379705],[19.2539150471,47.4194123805],[19.2617256397,47.4240582012],[19.2681629413,47.4245808304],[19.2844707722,47.4179604775],[19.2975170368,47.4128494602],[19.3098766559,47.4070989729],[19.3083317035,47.4023935616],[19.3036968464,47.4022773733]]
4-es kisujszallas elkerulo;2011;07;6;[[20.8074520466,47.227822959],[20.7913158771,47.2316697169],[20.7689998981,47.2376141574],[20.7470272419,47.2428586981],[20.7247112629,47.242159456],[20.6972454426,47.2363320796],[20.6936405536,47.2398285823],[20.7317493793,47.2510158407],[20.7611034748,47.2442571546],[20.8093403217,47.2329519076],[20.8074520466,47.227822959]]
M5 Kiskunfelegyhaza-Szeged;2005;12;10;[[20.0362874432,46.2989919768],[19.9992085858,46.35257294],[19.9152661725,46.4411270421],[19.8731469716,46.5515277732],[19.8302316274,46.6043892407],[19.8232588816,46.6733668873],[19.8280654002,46.6761936914],[19.8364768076,46.658641559],[19.9771071835,46.4232916382],[20.0452138348,46.3150006372],[20.0553418561,46.3010081398],[20.0362874432,46.2989919768]]
M5 Szeged-Roszke;2006;3;11;[[19.9814474313,46.1713111652],[19.9659979074,46.172737662],[19.9811041086,46.187238279],[20.020929548,46.220028842],[20.0312292306,46.2518502254],[20.0370657174,46.2995477029],[20.0485670297,46.2971756755],[20.0441038339,46.2590905742],[20.0350057809,46.2171782656],[20.0106298654,46.1931800501],[19.9920904367,46.1782055569],[19.9814474313,46.1713111652]]
M6 M0-Erdi-teto;2008;09;23;[[18.9066793101,47.3575812047],[18.9047910349,47.3603138779],[18.9083530085,47.3608080697],[18.9121499574,47.3616051039],[18.9132442987,47.361821308],[18.9163234747,47.3625425878],[18.9178201473,47.3629749876],[18.9197191513,47.3635945121],[18.9210146582,47.3640705056],[18.9225730217,47.3648171889],[18.9236056721,47.3653240555],[18.9259070075,47.3663922745],[18.9267465389,47.3666938426],[18.9286026275,47.3675567539],[18.929519943,47.3680581443],[18.9314135826,47.3689973301],[18.932561568,47.3695096063],[18.9346107757,47.3704869136],[18.934382788,47.3714696524],[18.9357131636,47.3718075214],[18.9365151441,47.371525964],[18.9428719795,47.373669395],[18.9507040298,47.3795397698],[18.9542445457,47.3826708535],[18.9561006344,47.3825110347],[18.9566585338,47.3834045608],[18.9588364876,47.3859615601],[18.9637073791,47.3872763324],[18.9673659122,47.3875160387],[18.9699944771,47.3892084797],[18.9697047985,47.3919104617],[18.9681169307,47.3964642953],[18.968363694,47.3978296424],[18.9698838197,47.4009305246],[18.9728878938,47.398141857],[18.9708279573,47.3947139175],[18.9718579255,47.3903560454],[18.971106907,47.3891212494],[18.969669243,47.3875668181],[18.9679526292,47.3870874048],[18.9640687905,47.3864772361],[18.9603351556,47.3858670604],[18.9585425036,47.3813420038],[18.9432217257,47.3721877341],[18.9378573076,47.369455676],[18.9345099108,47.3672176079],[18.9292313234,47.3667525429],[18.9222361223,47.3634097675],[18.9066793101,47.3575812047]]
M6 Erdi-teto-Dunaujvaros;2006;06;11;[[18.90218234,46.9126921941],[18.8843295568,46.9192585729],[18.8867328161,46.9340299833],[18.882612943,46.9675436245],[18.8767764562,46.9942457603],[18.8918826574,47.0239771732],[18.8877627843,47.045036659],[18.8699100011,47.0798835396],[18.839354276,47.0967141385],[18.8232181066,47.1212492291],[18.7984988683,47.1446054677],[18.7998721593,47.1777537024],[18.8108584875,47.2099483686],[18.8228747839,47.252378137],[18.8472506994,47.2663585278],[18.8592669958,47.2957053332],[18.8651034826,47.3250358607],[18.8908526891,47.3427194202],[18.9045212263,47.3587439896],[18.9057228559,47.3577555628],[18.9035770887,47.3534527834],[18.9022252553,47.3492877658],[18.901334762,47.3472669233],[18.8958308691,47.3384517677],[18.8929984563,47.3352235356],[18.8860890859,47.3296391006],[18.8694808477,47.3085176178],[18.8676784032,47.2982156505],[18.8653609746,47.286980144],[18.8620135778,47.2710833564],[18.8479373449,47.2524436787],[18.8276813024,47.223072878],[18.8163516515,47.1820197432],[18.8136050695,47.1472396995],[18.835234403,47.1269213588],[18.856177091,47.0972473128],[18.8702533239,47.0864951513],[18.8755962842,47.0795182333],[18.8770232194,47.0775820679],[18.883857488,47.064041557],[18.8874623769,47.0570251526],[18.8948867315,47.0512359239],[18.9102504247,47.034624952],[18.9083621496,47.02467929],[18.8905093664,46.9991631202],[18.8891360754,46.9841754685],[18.8966891759,46.9595772477],[18.8977191442,46.935202143],[18.9076755041,46.9209000418],[18.90218234,46.9126921941]]
